FID,thermo_tecto_age,thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,heat_prod_provinces,thickness_crust,d_2_young_rift,lon,lat,upper_mantle_vel_structure,rock_type,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
237,1.0,12.99499989,12.0,-0.0424,784.0499878,4690.819824,4585.680176,1037.77002,23.54782295,1.00999999,38.4799995,797.7199707,-43.33331299,62.50012207,6.0,2,1.22409129,165.348999,-34.5564995,62085.80078,25.6364002,1201.869995
222,1.0,9.99600029,11.0,-0.0417,1149.819946,4402.089844,4940.22998,1337.609985,30.50409889,1.00999999,38.1300011,543.2800293,-50.33331299,63.50012207,4.0,2,1.71262002,89.5699005,-46.770401,171397.0,57.5784988,867.5079956
223,1.0,13.0010004,12.0,-0.0556,1104.719971,4443.700195,4890.589844,1290.040039,29.50423622,1.00999999,39.0,558.75,-49.33331299,63.50012207,4.0,2,1.69812751,19.7000999,-53.1450996,167039.0,27.0464993,453.6059875
225,1.0,13.0010004,12.0,-0.0612,1059.670044,4485.029785,4840.919922,1242.410034,28.50438499,1.00999999,38.0,577.3599853,-48.33331299,63.50012207,4.0,2,1.66914248,64.9989014,-54.7938995,178501.0,13.9469995,868.4400024
227,1.0,13.00199985,12.0,-0.0528,1014.73999,4526.060059,4791.25,1194.709961,27.50454521,1.00999999,38.2000008,598.8300171,-47.33331299,63.50012207,4.0,2,1.59309697,-24.7238998,-52.1823006,211241.0,18.4990997,490.6119995
228,1.0,13.00199985,12.0,-0.0406,969.1199951,4566.77002,4741.589844,1146.969971,26.50471687,1.00999999,38.5,622.8599853,-46.33331299,63.50012207,4.0,2,1.49461198,-130.4420013,-45.5914001,205317.0,30.9090004,506.4979858
229,1.0,12.99600029,12.0,-0.0356,922.8499756,4607.169922,4691.950195,1099.170044,25.50490189,1.00999999,39.0999985,649.1400147,-45.33331299,63.50012207,4.0,2,1.42304623,79.5547028,-38.1945992,184839.0,40.0960999,786.1389771
230,1.0,12.99600029,12.0,-0.0375,876.75,4647.259766,4642.339844,1051.329956,24.50510216,1.00999999,39.0,677.4299927,-44.33331299,63.50012207,6.0,2,1.35993373,161.4250031,-35.5004997,156174.0,60.3320007,435.7990112
231,1.0,12.99499989,12.0,-0.0392,831.3699951,4687.040039,4592.779785,1003.460022,23.50531769,1.00999999,38.4000015,707.460022,-43.33331299,63.50012207,6.0,2,1.28830874,69.5178986,-39.1994019,102136.0,24.4741001,1354.819946
232,1.0,12.99499989,12.0,-0.0343,786.8499756,4660.799805,4543.279785,955.5499878,22.5055542,1.00999999,32.7000008,739.0200195,-42.33331299,63.50012207,6.0,2,1.20817125,45.5676003,-43.7000008,67409.39844,35.1777,1163.060059
212,1.0,12.99499989,12.0,-0.0421,1189.819946,4342.640137,4937.149902,1309.959961,30.50409889,1.00999999,36.5,437.4299927,-50.33331299,64.50012207,4.0,2,1.74478078,88.7825012,-46.0644989,117666.0,43.8596992,696.5239868
213,1.0,13.00199985,12.0,-0.0429,1144.359985,4383.209961,4889.22998,1263.109985,29.50423622,1.00999999,38.7099991,455.8299866,-49.33331299,64.50012207,4.0,2,1.72449005,63.9860992,-49.0227013,112769.0,44.4300995,571.3740234
214,1.0,13.00199985,12.0,-0.0426,1099.369995,4423.5,4841.299805,1216.180054,28.50438499,1.00999999,39.0,477.6799927,-48.33331299,64.50012207,4.0,2,1.70527005,54.3121986,-50.2421989,167391.0,38.3087997,864.7969971
215,1.0,13.0010004,12.0,-0.0406,1054.089966,4463.509766,4793.390137,1169.170044,27.50454521,1.00999999,38.4000015,502.5299988,-47.33331299,64.50012207,4.0,2,1.65586126,13.7205,-50.3684998,197183.0,44.4123001,541.4400024
216,1.0,13.0010004,12.0,-0.0361,1008.619995,4503.22998,4745.5,1122.099976,26.50471687,1.00999999,38.7999992,529.9400024,-46.33331299,64.50012207,4.0,2,1.57626379,132.9680023,-48.4131012,201552.0,41.0153999,623.9379883
217,1.0,13.0,12.0,-0.0297,963.6500244,4542.649902,4697.649902,1074.969971,25.50490189,1.00999999,39.0,559.539978,-45.33331299,64.50012207,4.0,2,1.5087806,229.0679932,-44.8391991,205421.0,64.973999,913.5029907
218,1.0,13.0,12.0,-0.0244,919.25,4581.790039,4649.839844,1027.77002,24.50510216,1.00999999,39.0,590.9899902,-44.33331299,64.50012207,6.0,2,1.45341182,31.4836006,-42.9393997,208908.0,64.7086029,614.2609863
