FID,thermo_tecto_age,thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,heat_prod_provinces,thickness_crust,_lithk_cona,_depth_to_moho_?,d_2_young_rift,OBJECTID_1,lon,lat,_num_in_cell,_num_in_continent,GHF,upper_mantle_vel_structure,_lithology_HM_unmodified,rock_type,age,magnetic_anomaly,depth_to_moho,_depth_to_moho_pasyanos,lithos_asthenos_bdry,_airy_gravity_anomaly,bougeur_gravity_anomaly,topography,_continent
511,2,14.997,15.0,-0.0123,1950.91,1871.4,1938.6,982.35,10.79351657,0.959999979,43.5800018,210.0,-43.02,920.24,8745,-101.333313,46.50012207,18,18947,60.1363983,2,1,3,2.50355911,-172.5559998,-41.8558998,43472.60156,195786.0,10.3919001,64.3881989,644.3300171,North America
512,2,14.995,15.01,-0.0119,1676.0,1491.58,1662.33,664.97,6.041522987,0.959999979,48.0400009,200.0,-47.22,575.92,8741,-105.333313,46.50012207,29,18947,63.3124008,2,3,3,1.85899174,-71.2300034,-38.9007988,50071.30078,153150.0,10.5899,40.3451004,790.5440063,North America
513,2,15.003,15.0,-0.0142,1793.56,1643.71,1772.18,784.68,7.90569415,0.959999979,50.0900002,210.0,-49.24,707.61,8743,-103.333313,46.50012207,20,18947,61.9361992,2,1,3,2.14277768,-112.9599991,-38.5858002,43257.10156,207018.0,29.9314995,63.6104012,871.4050293,North America
514,2,14.997,15.0,-0.0123,1950.91,1871.4,1938.6,982.35,10.79351657,0.959999979,43.5800018,210.0,-43.02,920.24,8746,-100.333313,46.50012207,7,18947,61.1254005,2,1,3,2.65106964,-82.0280991,-44.8549995,46802.10156,172225.0,5.71381,67.9014969,516.401001,North America
515,2,14.995,15.01,-0.0119,1676.0,1491.58,1662.33,664.97,6.041522987,0.959999979,48.0400009,200.0,-47.22,575.92,8740,-106.333313,46.50012207,40,18947,63.9129982,2,3,3,1.71825361,119.5370026,-36.1147003,52188.80078,101669.0,17.8714008,43.0094986,823.8720093,North America
516,1,17.003,17.0,-0.0054,1389.41,1186.21,1379.04,430.18,2.915475947,1.440000057,49.8199997,190.0,-48.41,354.18,8737,-109.333313,46.50012207,37,18947,63.1290016,4,3,3,1.24836183,-20.3789005,-39.2640991,50860.10156,64341.5,31.0970001,9.2940702,1210.640015,North America
517,1,19.001,12.0,-0.0265,749.66,496.95,843.57,258.29,7.90569415,1.440000057,35.0499992,100.0,-34.66,167.71,8727,-119.333313,46.50012207,22,18947,67.3431015,6,1,3,0.66349393,17.0895996,-29.6313992,43167.30078,55799.69922,-1.88597,82.9869995,167.0370026,North America
518,2,15.003,15.0,-0.0126,1843.65,1719.68,1825.49,848.59,8.860022573,0.959999979,47.1800003,210.0,-46.41,777.02,8744,-102.333313,46.50012207,11,18947,61.092701,2,1,3,2.33412862,53.0379982,-39.5951996,41618.30078,222216.0,13.0421,55.9963989,785.8690186,North America
519,2,14.995,15.01,-0.017000001,1746.11,1567.68,1721.3,723.3,6.964194139,0.959999979,48.7299995,200.0,-47.86,640.33,8742,-104.333313,46.50012207,37,18947,63.0228996,2,3,3,1.98439884,4.31322,-39.6254005,46200.80078,192559.0,21.073,50.3037987,894.1069946,North America
520,1,17.003,17.0,0.0207,1500.69,1257.44,1497.3,563.54,4.301162634,0.959999979,49.4900017,200.0,-48.57,477.29,8738,-108.333313,46.50012207,53,18947,63.8730011,4,3,3,1.40555394,64.5061035,-35.4388008,52000.30078,65085.80078,23.4925995,26.0063992,1130.51001,North America
521,1,15.002,15.0,-0.004,1603.19,1415.42,1590.19,602.09,5.14781507,0.959999979,51.5999985,200.0,-50.72,515.49,8739,-107.333313,46.50012207,41,18947,63.6955986,4,3,3,1.56218457,191.8350067,-34.2678986,53297.60156,77241.39844,22.4356995,40.1796989,895.3519897,North America
522,1,20.004,20.0,-0.050700001,1105.42,879.93,1116.38,357.06,3.535533906,1.440000057,43.4500008,100.0,-41.67,124.5,8733,-113.333313,46.50012207,1,18947,77.4998016,6,8,3,0.76466018,-123.5790024,-46.6819,45550.39844,62941.0,-3.8008101,-59.3608017,1652.900024,North America
523,1,10.8,17.0,-0.034200002,561.2,268.19,734.28,57.85,8.514693183,1.440000057,43.9199982,100.0,-42.67,209.76,8725,-121.333313,46.50012207,9,18947,61.5485992,5,2,1,0.78593189,104.1029968,-36.5993996,46989.0,111325.0,-13.4737997,28.1322994,1423.27002,North America
524,1,15.0,16.0,-0.048500001,1032.09,803.31,1055.86,377.07,4.301162634,1.440000057,37.0,100.0,-35.39,126.86,8732,-114.333313,46.50012207,4,18947,79.6185989,6,9,1,0.71053392,-30.9720001,-43.5803986,44356.69922,88658.10156,-3.71755,-47.3555984,2060.949951,North America
525,1,14.75,14.0,-0.0328,888.16,650.07,942.73,393.49,6.041522987,1.440000057,35.9199982,100.0,-35.01,198.12,8730,-116.333313,46.50012207,7,18947,73.6063004,6,1,3,0.65674335,-22.3164997,-35.1677017,43616.5,61694.30078,14.1049004,34.4012985,824.6069946,North America
526,1,20.004,20.0,-0.0482,1179.4,956.54,1179.3,352.24,2.915475947,1.440000057,40.0499992,180.0,-38.3,163.96,8734,-112.333313,46.50012207,21,18947,74.3988037,6,3,3,0.84983015,-138.5180054,-46.6781998,49285.80078,65229.80078,-6.8333402,-61.8356018,1996.920044,North America
527,4,15.002,16.0,-0.0262,3119.01,2849.64,2968.74,2609.63,24.78911051,0.959999979,39.9500008,210.0,-39.62,1352.56,8768,-78.33331299,46.50012207,3,18947,32.4076004,2,8,2,1.99090457,-39.5183983,-40.2799988,47869.30078,187751.0,-29.3122997,67.5807037,309.0950012,North America
528,4,14.995,16.01,-0.023,3054.12,2841.24,2963.49,2663.5,24.05202694,0.959999979,39.0600014,210.0,-38.73,1402.71,8769,-77.33331299,46.50012207,1,18947,31.9787006,2,8,2,1.9724462,-76.9605026,-38.8083992,47629.89844,205454.0,-19.9002991,77.9336014,345.7309875,North America
529,1,14.754,14.0,-0.026000001,851.89,656.93,866.01,325.53,5.700877126,1.440000057,36.0,100.0,-34.63,132.62,8535,-116.333313,45.50012207,4,18947,76.2061005,6,2,1,0.50182295,108.3069992,-39.0181999,41040.10156,56050.10156,30.1814003,10.0242996,1469.01001,North America
530,1,14.998,15.0,0.028200001,2136.52,2965.44,3054.28,2488.21,16.86712779,1.00999999,36.3899994,160.0,-36.4,1018.39,8588,-63.33331299,45.50012207,5,18947,49.3395004,2,5,3,1.99804497,487.8859863,-28.5006008,38198.80078,130343.0,7.3941302,145.6759949,223.4049988,North America
531,2,14.004,14.0,-0.006,2662.3,2851.54,2953.69,2835.61,20.11218536,1.980000019,42.25,190.0,-42.05,1382.12,8775,-71.33331299,46.50012207,1,18947,41.9454994,2,8,3,2.01251364,103.0439987,-35.9845009,46830.19922,163407.0,-19.9923,89.264801,163.5039978,North America
532,2,18.997,12.0,-0.0069,2530.23,2877.92,2971.83,2831.71,19.03943276,1.980000019,38.0900002,190.0,-37.72,1286.18,8777,-69.33331299,46.50012207,1,18947,48.1618996,2,3,3,2.04891062,-65.8451004,-39.2541008,47133.30078,113027.0,-9.1655102,92.3515015,340.6619873,North America
533,4,14.996,16.0,-0.0115,3038.26,2724.56,2846.01,2694.56,22.63846285,0.959999979,38.5600014,210.0,-38.37,1379.78,8575,-76.33331299,45.50012207,6,18947,35.5943985,2,8,2,1.91570604,13.3112001,-35.6673012,46996.5,201101.0,-12.2229004,99.2912979,132.9140015,North America
534,2,19.002,12.0,-0.0025,2852.26,2725.42,2835.32,2828.33,20.55480479,1.980000019,36.0999985,200.0,-36.05,1565.01,8577,-74.33331299,45.50012207,1,18947,36.6851997,2,6,3,1.87125683,161.1029968,-33.0325012,46024.5,174800.0,-5.8800001,112.0159988,40.6296005,North America
