FID,G_ther_age,thk_up_cru,thk_mid_cr,upman_den_,d_2ridge,d_2trench,d2_transfo,d_2volcano,d_2hotspot,G_heat_pro,crusthk_cr,lithk_cona,depthmoho,G_d_2yng_r,OBJECTID_1,Longitude_1,Latitude_1,num_in_cel,num_in_con,GHF,G_u_m_vel_,lthlgy_all,lthlgy_mod,age,magnetic_M,moho_GReD,moho_Pasya,litho_asth,WGM2012_Ai,WGM2012_Bo,ETOPO_1deg,continent
520,5,12.99699974,12,-0.0168,725.1599731,3609.189941,5135.370117,1480.23999,33.80088806,0.95999998,38.4000015,190,-36.79999924,268.3200073,521,-49.33331299,80.50012207,0,0,0,2,0,10,2.30667186,78.4586029,-34.6478004,43425,245653,22.1425991,67.2123032,245.3919983,0
521,5,12.99699974,12,-0.0195,711.3300171,3626.570068,5117.72998,1470.689941,32.93174744,0.95999998,38.4000015,190,-36.75999832,277.1600037,522,-48.33331299,80.50012207,0,0,0,2,0,10,2.2781806,163.8609924,-34.5159988,42783.19922,240664,16.9410992,60.7905006,245.3919983,0
522,5,13,12,-0.0203,697.5,3643.850098,5100.200195,1461.280029,32.07023621,0.95999998,38.4000015,190,-36.70000076,285.9899902,523,-47.33331299,80.50012207,0,0,0,2,0,10,2.26876116,158.0700073,-34.4710007,42858.69922,235209,16.9825001,59.0056992,629.2659912,0
523,5,13,12,-0.0198,683.6799927,3661.030029,5082.77002,1452.030029,31.21698189,0.95999998,38.4000015,190,-36.61999893,291.7999878,524,-46.33331299,80.50012207,0,0,0,1,0,10,2.27841377,131.0189972,-34.5723,42158,234215,17.3430996,57.2821999,452.5100098,0
524,5,13.00199985,12,-0.0182,669.8599853,3678.110107,5065.439941,1442.930054,30.37268448,0.95999998,38.2999992,190,-36.43999863,295.1900024,525,-45.33331299,80.50012207,0,0,0,1,0,10,2.2945857,113.1340027,-34.7925987,41948.89844,234952,17.0533009,55.3975983,402.6860046,0
525,5,13.00199985,12,-0.0164,656.0499878,3695.080078,5048.22998,1433.98999,29.53811073,0.95999998,38.2999992,190,-36.38999939,298.5799866,526,-44.33331299,80.50012207,0,0,0,2,0,10,2.31727695,41.4726982,-35.0956001,42721,232980,18.6420994,55.8204002,402.6860046,0
526,5,12.99600029,12,-0.015,642.25,3711.939941,5031.140137,1425.22998,28.71410751,0.95999998,38.2999992,180,-36.34999847,301.980011,527,-43.33331299,80.50012207,0,0,0,2,0,10,2.31801319,-7.2935901,-35.4216995,42546.60156,224229,22.8722992,59.1074982,480.2640076,0
527,5,12.99600029,12,-0.0144,628.4699707,3728.679932,5014.169922,1416.650024,27.90161324,0.95999998,38.4000015,180,-36.40999985,305.3699951,528,-42.33331299,80.50012207,0,0,0,2,0,10,2.29679441,-55.8837013,-35.7053986,41640.5,216012,28.4367008,64.1819992,480.2640076,0
68,1,13,12,-0.0261,803.9699707,3398.379883,5173.310059,1574.339966,44.11915588,1.00999999,37,180,-36.61999893,95.19000244,69,-60.33331299,81.50012207,0,0,0,2,0,2,2.10258222,55.1218987,-46.5131989,40148.30078,204563,-84.8169022,1.98239,30.6903,0
69,1,12.99800015,12,-0.0251,790.8699951,3414.709961,5188.910156,1564.859985,43.20301056,1.00999999,37,180,-36.52999878,95.51000214,70,-59.33331299,81.50012207,0,0,0,2,0,2,2.07344007,56.4165993,-46.6640015,40510.30078,215017,-63.1562004,16.3400993,270.9880066,0
70,1,12.99800015,12,-0.0229,777.7199707,3430.98999,5204.609863,1555.459961,42.29066086,1.00999999,37,180,-36.40000153,98.34999847,71,-58.33331299,81.50012207,0,0,0,2,0,2,2.064955,31.5323009,-46.5391998,38221.60156,236221,-60.0619011,14.3225002,270.9880066,0
71,5,12.99600029,12,-0.0195,764.5300293,3447.23999,5220.390137,1546.150024,41.38236237,0.95999998,37,180,-36.34999847,103.4800034,72,-57.33331299,81.50012207,0,0,0,2,0,2,2.07245564,2.8091099,-46.0525017,36211.69922,245099,-64.6355972,5.7853599,270.9880066,0
72,5,12.99600029,12,-0.0155,751.2999878,3463.449951,5236.25,1536.930054,40.47838974,0.95999998,37,180,-36.29999924,110.5899963,73,-56.33331299,81.50012207,0,0,0,2,0,2,2.09594178,-23.7133007,-45.3160019,35692.60156,232927,-37.3947983,30.3129997,512.8930054,0
73,5,12.9989996,12,-0.0115,738,3479.600098,5252.189941,1527.800049,39.57903671,0.95999998,37,180,-36.34000015,119.3300018,74,-55.33331299,81.50012207,0,0,0,2,0,2,2.10009742,-47.4511986,-44.4300995,36184.5,214532,-26.2733994,40.5419998,512.8930054,0
74,5,12.9989996,12,-0.0078,724.5999756,3495.699951,5246.299805,1518.780029,38.68462372,0.95999998,37,180,-36.52999878,128.1799927,75,-54.33331299,81.50012207,0,0,0,2,0,2,2.08492255,-36.6160011,-43.2863007,37555,192515,-29.4855995,37.0681992,103.6490021,0
