FID,thermo_tecto_age,thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,heat_prod_provinces,thickness_crust,d_2_young_rift,lon,lat,GHF,upper_mantle_vel_structure,rock_type,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
878,2.0,16.003,15.0,-0.0107,1829.68,1969.3,1959.11,1323.32,9.513148795,0.959999979,44.4500008,248.89,-94.33331299,35.50012207,50.6119995,2.0,3.0,1.87608838,71.5034027,-32.9478989,138725.0,91.6174011,178.8079987
879,1.0,10.0,10.0,-0.044,265.01,1020.59,246.83,225.62,7.38241153,1.440000057,29.7299995,40.37,-114.333313,35.50012207,78.2248001,5.0,3.0,0.39918062,90.3234024,-31.1557007,50118.10156,16.3274994,850.901001
880,2.0,19.002,12.0,0.035999998,1890.2,1692.58,1783.5,2225.01,21.22498528,1.980000019,38.0900002,692.95,-81.33331299,35.50012207,40.0004005,3.0,2.0,1.72354376,-122.3330002,-42.5191002,236552.0,86.5485001,303.4089966
881,1.0,11.504,12.0,-0.049699999,452.83,1252.74,455.12,187.45,7.516648189,1.440000057,42.9000015,35.3,-111.333313,35.50012207,60.5746002,5.0,3.0,0.35153434,139.3609924,-44.1338005,75050.10156,-52.3386993,1714.27002
882,2.0,10.005,9.99,0.0063,1931.91,1625.38,1741.56,2276.56,18.34393633,1.980000019,38.3600006,959.15,-77.33331299,35.50012207,52.1459999,4.0,3.0,1.68099248,-74.8023987,-31.8516998,239622.0,130.6849976,17.5564003
883,1.0,16.003,16.0,0.0033,1588.04,1811.52,1687.4,1066.26,6.519202405,1.440000057,47.3300018,516.63,-97.33331299,35.50012207,46.7803001,2.0,3.0,2.0417347,59.0344009,-26.9412994,198270.0,97.3093033,364.9360046
884,1.0,10.0,10.001,-0.0559,379.97,1173.94,380.0,172.16,8.514693183,1.440000057,36.7599983,5.19,-112.333313,35.50012207,63.0881996,5.0,3.0,0.35493544,428.1069946,-41.2391014,73771.5,-46.0884018,1761.359985
885,1.0,16.001,16.0,-0.0004,1258.52,1658.76,1326.09,724.43,2.549509757,1.440000057,46.5999985,335.07,-101.333313,35.50012207,48.1530991,3.0,3.0,1.71769631,157.8690033,-36.9542007,138950.0,-0.533012,1025.089966
886,1.0,18.999,12.0,-0.0034,1004.9,1597.87,1056.93,489.18,0.707106781,1.440000057,45.0,65.77,-104.333313,35.50012207,60.6399994,3.0,3.0,1.13906372,-37.6465988,-41.9001007,99332.79688,-46.0266991,1460.880005
887,1.0,20.001,20.0,0.0079,1088.13,1612.55,1146.38,563.48,0.707106781,1.440000057,43.3600006,154.43,-103.333313,35.50012207,52.3919983,3.0,3.0,1.34617543,64.4834976,-38.082901,106927.0,-11.5167999,1222.430054
888,1.0,14.999,16.0,0.0015,1510.69,1766.53,1596.93,979.49,5.522680509,1.440000057,42.7000008,606.87,-98.33331299,35.50012207,44.9393005,2.0,3.0,2.08644891,184.5130005,-26.1611996,222094.0,71.6774979,467.1679993
889,1.0,14.999,16.0,0.0015,1510.69,1766.53,1596.93,979.49,5.522680509,1.440000057,42.7000008,606.87,-99.33331299,35.50012207,45.5405998,2.0,3.0,2.08636117,145.5970001,-27.1523991,229786.0,50.4384995,565.2969971
890,1.0,16.001,16.0,-0.0004,1258.52,1658.76,1326.09,724.43,2.549509757,1.440000057,46.5999985,335.07,-102.333313,35.50012207,48.9922981,3.0,3.0,1.51194024,125.2409973,-38.0983009,102437.0,-7.47118,1089.839966
891,2.0,15.004,14.0,0.0147,2035.33,2135.21,2024.87,1717.54,14.50861813,0.959999979,37.5600014,23.13,-90.33331299,35.50012207,51.8224983,3.0,3.0,1.92156053,-176.8910065,-32.7313995,247751.0,124.2919998,62.5214005
892,2.0,17.997,16.0,0.037599999,1905.8,1851.54,1876.17,2068.76,19.5064092,1.980000019,47.9500008,346.07,-84.33331299,35.50012207,36.1493988,2.0,3.0,1.78597939,206.3280029,-42.5018997,211820.0,78.2080994,294.3039856
893,2.0,18.004,16.0,0.024499999,1894.24,1805.23,1846.12,2111.16,20.50609665,1.980000019,46.1300011,430.84,-83.33331299,35.50012207,40.3082008,2.0,2.0,1.78648996,51.4800987,-44.5023994,232302.0,67.7526016,1111.130005
894,1.0,16.003,17.0,0.0031,1380.27,1793.69,1430.92,803.48,3.535533906,1.440000057,44.0900002,417.2,-100.333313,35.50012207,47.8751984,2.0,3.0,1.96344376,-47.9598007,-31.8278999,195965.0,54.4183006,807.335022
